Drug ID,Name,Slug,Url,Provider ID
166,,bringradzh-bhringraj-omolazhivayushchee-sredstvo-shri-ganga-shri-ganga-200-tab,https://domayurveda.ru/magazin/product/bringradzh-bhringraj-omolazhivayushchee-sredstvo-shri-ganga-shri-ganga-200-tab,3
167,,krimihar-vati-krimihar-vati-antiparazitarnoe-sredstvo-shri-ganga-shri-ganga-100-tab,https://domayurveda.ru/magazin/product/krimihar-vati-krimihar-vati-antiparazitarnoe-sredstvo-shri-ganga-shri-ganga-100-tab,3
168,,amla-amla-dlya-immuniteta-shri-ganga-shri-ganga-200-tab,https://domayurveda.ru/magazin/product/amla-amla-dlya-immuniteta-shri-ganga-shri-ganga-200-tab,3
169,,ayurvedicheskij-krem-kajlash-dzhivan-kailas-jeevan-ayurveda-samshodhanalaya-ayurved-sumshodhanalaya-20-gr,https://domayurveda.ru/magazin/product/ayurvedicheskij-krem-kajlash-dzhivan-kailas-jeevan-ayurveda-samshodhanalaya-ayurved-sumshodhanalaya-20-gr,3
170,,maslo-nim-neem-oil-indibird-150-ml,https://domayurveda.ru/magazin/product/maslo-nim-neem-oil-indibird-150-ml,3
171,,hna-indigo-basma-indigo-basma-indibird-200-g,https://domayurveda.ru/magazin/product/hna-indigo-basma-indigo-basma-indibird-200-g,3
172,,poroshok-dlya-tela-shatavari-shatavari-powder-indibird-100-g,https://domayurveda.ru/magazin/product/poroshok-dlya-tela-shatavari-shatavari-powder-indibird-100-g,3
173,,nimpatti-churna-neempatti-churna-vyas-vyas-100-gr,https://domayurveda.ru/magazin/product/nimpatti-churna-neempatti-churna-vyas-vyas-100-gr,3
174,,shatavari-churna-shatavari-churna-zhenskij-eliksir-molodosti-vyas-vyas-100-gr,https://domayurveda.ru/magazin/product/shatavari-churna-shatavari-churna-zhenskij-eliksir-molodosti-vyas-vyas-100-gr,3
175,,sirop-dlya-ochishcheniya-krovi-safi-safi-hamdard-hamdard-100-ml,https://domayurveda.ru/magazin/product/sirop-dlya-ochishcheniya-krovi-safi-safi-hamdard-hamdard-100-ml,3
176,,sirop-dlya-ochishcheniya-krovi-safi-safi-hamdard-hamdard-200-ml,https://domayurveda.ru/magazin/product/sirop-dlya-ochishcheniya-krovi-safi-safi-hamdard-hamdard-200-ml,3
177,,trifala-guggul-ozdoravlivayushchij-preparat-shirokogo-spektra-dejstviya-triphala-guggulu-baidjanat-baidyanath-80-tab,https://domayurveda.ru/magazin/product/trifala-guggul-ozdoravlivayushchij-preparat-shirokogo-spektra-dejstviya-triphala-guggulu-baidjanat-baidyanath-80-tab,3
178,,amalakihimalaya,https://domayurveda.ru/magazin/product/amalakihimalaya,3
179,,shatavari,https://domayurveda.ru/magazin/product/shatavari,3
180,,brahmi,https://domayurveda.ru/magazin/product/brahmi,3
181,,trifalahimalaya,https://domayurveda.ru/magazin/product/trifalahimalaya,3
182,,tulasihimalaya,https://domayurveda.ru/magazin/product/tulasihimalaya,3
183,,confido,https://domayurveda.ru/magazin/product/confido,3
184,,mentat,https://domayurveda.ru/magazin/product/mentat,3
185,,geriforte,https://domayurveda.ru/magazin/product/geriforte,3
186,,speman,https://domayurveda.ru/magazin/product/speman,3
187,,purim,https://domayurveda.ru/magazin/product/purim,3
188,,rumalaya,https://domayurveda.ru/magazin/product/rumalaya,3
189,,menosan,https://domayurveda.ru/magazin/product/menosan,3
190,,serpina,https://domayurveda.ru/magazin/product/serpina,3
191,,cyston,https://domayurveda.ru/magazin/product/cyston,3
192,,himplasia,https://domayurveda.ru/magazin/product/himplasia,3
193,,septilin,https://domayurveda.ru/magazin/product/septilin,3
194,,manjishta,https://domayurveda.ru/magazin/product/manjishta,3
195,,vrikshamla,https://domayurveda.ru/magazin/product/vrikshamla,3
196,,karela-karela-diabet-ochishchenie-organizma-himalaya-himalaya-60-tab,https://domayurveda.ru/magazin/product/karela-karela-diabet-ochishchenie-organizma-himalaya-himalaya-60-tab,3
197,,talekt,https://domayurveda.ru/magazin/product/talekt,3
198,,punarnava-himalaya,https://domayurveda.ru/magazin/product/punarnava-himalaya,3
199,,arjunahimaaya,https://domayurveda.ru/magazin/product/arjunahimaaya,3
200,,herbolax,https://domayurveda.ru/magazin/product/herbolax,3
201,,ayurslim,https://domayurveda.ru/magazin/product/ayurslim,3
202,,lasunahimalaya,https://domayurveda.ru/magazin/product/lasunahimalaya,3
203,,shallaki,https://domayurveda.ru/magazin/product/shallaki,3
204,,shigru,https://domayurveda.ru/magazin/product/shigru,3
205,,liv52ds,https://domayurveda.ru/magazin/product/liv52ds,3
206,,abana,https://domayurveda.ru/magazin/product/abana,3
207,,himcolin,https://domayurveda.ru/magazin/product/himcolin,3
208,,clarina,https://domayurveda.ru/magazin/product/clarina,3
209,,pilex-forte,https://domayurveda.ru/magazin/product/pilex-forte,3
210,,pain-balm,https://domayurveda.ru/magazin/product/pain-balm,3
211,,ujala,https://domayurveda.ru/magazin/product/ujala,3
212,,bresol-ns,https://domayurveda.ru/magazin/product/bresol-ns,3
213,,dashmul,https://domayurveda.ru/magazin/product/dashmul,3
214,,jatamasi,https://domayurveda.ru/magazin/product/jatamasi,3
